well_id,depth_to_m,lithology,colour,texture
SIND001-OW,0.6,Clay,black,fine
SIND001-OW,2.4,Clay hard,yellowish brown,medium to coarse
SIND001-OW,4.4,Basalt weathered,grey,medium
SIND001-OW,5.5,Basalt weathered/fractured,greyish black,medium
SIND001-OW,7,Basalt,black,hard
SIND007-OW,0.5,Clay,black,fine
SIND007-OW,2.3,Clay hard,yellowish brown,medium to coarse
SIND007-OW,4.1,Basalt weathered,dull brown,medium
SIND007-OW,5.5,Basalt fractured,greyish black,hard
SIND007-OW,15.63,Basalt,black,hard
SIND014-OW,2,Clay,black,fine
SIND014-OW,4.5,Clay hard,yellowish brown,coarse
SIND014-OW,7,Basalt weathered,greyish black,medium
SIND014-OW,11.55,Basalt,black,hard
SIND017-OW,2.8,Clay,black,fine
SIND017-OW,5.2,Clay hard,yellowish brown,coarse
SIND017-OW,7.5,Basalt weathered,greyish black,medium
SIND017-OW,16.65,Basalt,black,hard
SIND021-OW,2.1,Clay,black,fine
SIND021-OW,3.6,Clay hard,yellowish brown,medium to coarse
SIND021-OW,8.6,Basalt weathered,greyish black,medium
SIND021-OW,12.5,Basalt,black,hard
SIND024-OW,3,Clay hard,yellowish brown,medium to coarse
SIND024-OW,7.5,Basalt weathered,greyish black,medium
SIND024-OW,10,Basalt,black,hard
SIND025-OW,2.8,Clay,black,fine
SIND025-OW,6.4,Clay hard,yellowish brown,medium to coarse
SIND025-OW,10,Basalt weathered,greyish black,medium
SIND025-OW,16.5,Basalt,black,gravel
SIND026-OW,1.8,Clay,black,fine
SIND026-OW,4,Clay hard,yellowish brown,medium to coarse
SIND026-OW,11,Basalt weathered,greyish black,medium
SIND026-OW,13,Basalt,black,hard
SIND027-OW,1,Clay,yellowish brown,fine
SIND027-OW,4.2,Clay hard,yellowish brown,medium
SIND027-OW,7.3,Basalt weathered,greyish black,medium
SIND027-OW,10,Basalt,black,hard
SIND030-OW,2.1,Clay,black,fine
SIND030-OW,5.2,Clay hard,yellowish brown,medium to coarse
SIND030-OW,7.5,Basalt weathered,greyish black,medium
SIND030-OW,9,Basalt,black,hard
SIND041-OW,1,Clay,black,fine
SIND041-OW,3,Basalt weathered,grey,medium
SIND041-OW,6.5,Basalt fractured,grey,hard
SIND041-OW,15,Basalt,black,hard
SIND050-OW,1,Clay hard,yellowish brown,coarse
SIND050-OW,3,Basalt weathered,grey,medium
SIND050-OW,5,Basalt fractured,greyish black,hard
SIND050-OW,7.25,Basalt,black,hard
SIND060-OW,1,Basalt,black,fine to medium
SIND060-OW,1.5,Clay,black,coarse to very coarse
SIND060-OW,9,Clay hard,yellow,fine to medium
SIND060-OW,11,Basalt weathered,grey,fine to medium
SIND064-OW,1.5,Clay,black,fine
SIND064-OW,6,Clay with interbeds of sand,yellow,fine to medium
SIND064-OW,8.1,Basalt highly weathered,greyish black,hard
SIND067-OW,0.5,Clay,black,fine
SIND067-OW,1.5,Clay hard,yellowish brown,coarse
SIND067-OW,2.25,Basalt fractured,grey,medium
SIND067-OW,11,Basalt,black,hard
SIND070-OW,0.6,Clay,black,fine
SIND070-OW,3.5,Clay hard,yellowish brown,medium to coarse
SIND070-OW,6,Basalt weathered,dull brown,medium
SIND070-OW,6.6,Basalt fractured,greyish black,medium
SIND070-OW,8.699999999999999,Basalt,black,hard
SIND071-OW,0.9,Clay,black,fine
SIND071-OW,2.5,Clay hard,yellowish brown,medium to coarse
SIND071-OW,4.6,Basalt weathered,dull brown,medium
SIND071-OW,5.8,Basalt fractured,greyish black,medium
SIND071-OW,11.15,Basalt,black,hard
SIND072-OW,0.6,Clay,black,fine
SIND072-OW,2.3,Clay hard,yellowish brown,medium to coarse
SIND072-OW,4.2,Basalt weathered,grey,medium
