well_id,geology_type,aquifer_classification,confidence
BPL001-OW,Basalt,Weathered,0.67
BPL002-OW,Basalt,Weathered,0.5
BPL003-OW,Basalt,Weathered,0.67
BPL004-OW,Basalt,Weathered,0.67
BPL005-OW,Basalt,Weathered,0.67
BPL006A-OW,Basalt,Weathered,0.67
BPL007A-OW,Basalt,Weathered,0.67
BPL008A-OW,Basalt,Weathered,0.5
BPL009-OW,Vindhyan,Weathered,0.67
BPL010A-OW,Basalt,Weathered,0.67
BPL011A-OW,Basalt,Weathered,0.67
BPL012A-OW,Basalt,Weathered,0.67
BPL013-OW,Basalt,Weathered,0.67
BPL014A-OW,Basalt,Weathered,0.67
BPL015-OW,Basalt,Weathered,0.67
BPL016A-OW,Basalt,Weathered,0.67
BPL017A-OW,Basalt,Weathered,0.67
BPL018-OW,Basalt,Weathered,0.5
BPL019-OW,Basalt,Weathered,0.67
BPL020A-OW2016,Vindhyan,Weathered,0.5
BPL021A-OW,Basalt,Weathered,0.67
BPL022-OW,Basalt,Weathered,0.67
BPL023-OW,Basalt,Weathered,0.67
BPL024A-OW,Basalt,Weathered,0.67
BPL025-OW,Basalt,Weathered,0.67
BPL026-OW,Basalt,Weathered,0.67
BPL027A-OW,Basalt,Weathered,0.67
BPL028A-OW2016,Basalt,Weathered,0.67
BPL029A-OW,Basalt,Weathered,0.67
BPL030-OW,Basalt,Weathered,0.67
BPL031A-OW2016,Basalt,Weathered,1.0
BPL032A-OW,Basalt,Weathered,0.67
BPL033A-OW,Basalt,Weathered,0.67
BPL034-OW,Basalt,Weathered,0.67
BPL035-OW,Basalt,Weathered,0.67
BPL036A-OW,Basalt,Weathered,0.67
BPL037-OW,Basalt,Weathered,0.67
BPL038A-OW2016,Basalt,Weathered,0.67
BPL039-OW,Basalt,Weathered,0.67
BPL040-OW,Basalt,Weathered,0.67
BPL041A-OW,Basalt,Weathered,0.67
BPL042-OW,Basalt,Weathered,0.67
BPL043-OW,Basalt,Weathered,0.67
BPL044-OW,Basalt,Weathered,0.67
BPL045A-OW2016,Basalt,Weathered,0.67
BPL046A-OW2016,Basalt,Weathered,0.67
BPL047A-OW2016,Basalt,Weathered,0.67
BPL048A-OW2016,Basalt,Weathered,0.67
BPL049-OW,Basalt,Weathered,0.67
BPL050-OW,Basalt,Weathered,0.67
BPL051-OW,Basalt,Weathered,0.67
BPL052A-OW,Basalt,Weathered,0.67
BPL053A-0W,Basalt,Weathered,0.67
BPL054-OW,Basalt,Weathered,0.67
BPL055-OW2016,Basalt,Weathered,0.67
BPL056A-OW2016,Basalt,Weathered,0.67
BPL057A-OW2016,Vindhyan,Weathered,0.67
BPL058A-OW,Basalt,Weathered,0.67
BPL059-OW,Basalt,Weathered,0.67
BPL060-OW,Vindhyan,Weathered,0.67
BPL061-OW,Vindhyan,Weathered,0.67
